uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:4eBvRhTJ2AcxCsbfTUjoRp,Shubh,Cheques,0.262,0.742,183757,0.627,1.23e-05,0.269,-8.939,0,0.0533,89.998,4,0.356,spotify:artist:5r3wPya2PpeTTsXsGhQU8O,77,5100008,['punjabi hip hop'],75
spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,0.768,0.561,242013,0.431,1.42e-05,0.106,-8.81,1,0.0578,143.875,4,0.137,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],82
spotify:track:7x9aauaA9cu6tyfpHnqDLo,"Jung Kook, Latto",Seven (feat. Latto),0.301,0.788,184400,0.841,0.0,0.0772,-3.955,1,0.0432,124.986,4,0.904,spotify:artist:6HaGTQPmzraVmaVxvz6EUc,87,16322286,['k-pop'],81
spotify:track:3IX0yuEVvDbnqUwMBB3ouC,Olivia Rodrigo,bad idea right?,0.00177,0.631,184784,0.881,4.5e-06,0.0639,-3.545,1,0.0995,129.981,4,0.808,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],78
spotify:track:3xMHXmedL5Rvfxmiar9Ryv,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Chaleya,0.393,0.575,200374,0.845,0.0107,0.131,-5.28,1,0.0852,95.047,4,0.439,spotify:artist:4zCH9qm4R2DADamUHMCa6O,86,33702854,"['desi hip hop', 'filmi', 'tamil hip hop']",72
spotify:track:2gyxAWHebV7xPYVxqoi86f,Olivia Rodrigo,get him back!,0.0143,0.553,211141,0.847,0.0,0.561,-5.736,1,0.187,162.024,4,0.733,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],76
spotify:track:3RaCGXCiiMufRPoexXxGkV,"Drake, SZA",Slime You Out (feat. SZA),0.508,0.483,310491,0.408,0.0,0.259,-9.243,0,0.0502,88.88,3,0.105,spotify:artist:3TVXtAsR1Inumwj472S9r4,96,93110115,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",67
spotify:track:5h1BN75CEh8wdSwE1xrbSe,V,Slow Dancing,0.257,0.579,187027,0.63,0.00462,0.0986,-7.758,1,0.058,155.96,4,0.552,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,83,18961859,"['j-division', 'korean ost']",79
spotify:track:6irysuQyZWd7Bjj7ePiOs2,JHAYCO,Holanda,0.277,0.831,231693,0.759,0.0,0.125,-3.627,0,0.0502,107.961,4,0.244,spotify:artist:6nVcHLIgY5pE2YCl8ubca1,85,8161599,"['reggaeton', 'trap latino', 'urbano latino']",70
spotify:track:63ui2w3QJBp8xx0c1MJB2Z,Bad Bunny,UN PREVIEW,0.0383,0.786,165582,0.814,3.67e-05,0.22,-3.318,1,0.0873,95.084,4,0.365,spotify:artist:4q3ewBCX7sLwd24euuV69X,95,86704790,"['reggaeton', 'trap latino', 'urbano latino']",66
spotify:track:5wjsJIUf6pdrwauPDae43o,"Shakira, Fuerza Regida",El Jefe,0.228,0.785,170297,0.662,0.0,0.143,-4.271,0,0.0499,74.962,4,0.964,spotify:artist:0EmeFodog0BfCgMzAIvKQp,88,35183519,"['colombian pop', 'dance pop', 'latin pop', 'pop']",65
spotify:track:5PUXKVVVQ74C3gl5vKy9Li,"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),0.516,0.728,194857,0.494,0.00384,0.0759,-9.628,0,0.0256,105.007,4,0.558,spotify:artist:74OaRjmyh0XyRZsQQQ5l7c,71,2430955,"['desi pop', 'filmi', 'indian singer-songwriter', 'modern bollywood']",76
spotify:track:2TJKY0WSFufZOzbRNgl6zE,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",ELOVRGA,0.132,0.793,194769,0.476,0.0,0.115,-10.515,0,0.0406,129.992,4,0.578,spotify:artist:5TcnuUD5MHBfd1cO4kweWD,67,200847,['corrido'],76
spotify:track:34sOdxWu9FljH84UXdRwu1,Olivia Rodrigo,all-american bitch,0.218,0.421,165834,0.695,2.97e-06,0.155,-4.346,1,0.0428,156.344,4,0.45,spotify:artist:1McMsnEElThX1knmY4oliG,89,40961406,['pop'],74
spotify:track:4sDpxaulErbJ9NBaJDC7cJ,"Quevedo, SAIKO",Buenas,0.247,0.625,192955,0.755,0.0,0.124,-4.643,1,0.0724,87.948,4,0.429,spotify:artist:52iwsT98xCoGgiGntTiR7K,82,5245956,"['rap canario', 'trap latino', 'urbano latino']",66
